2020-09-07 11:10:56.898 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 39988 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 11:10:56.901 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 11:10:58.240 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 11:10:58.242 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 11:10:58.285 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29ms. Found 0 Redis repository interfaces.
2020-09-07 11:10:58.986 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 11:10:58.996 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 11:10:58.996 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 11:10:58.997 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 11:10:59.103 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 11:10:59.104 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2158 ms
2020-09-07 11:10:59.714 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 11:11:01.106 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 11:11:33.257 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-09-07 11:11:33.675 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-07 11:11:34.125 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-07 11:11:34.126 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService
2020-09-07 11:11:34.126 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 11:11:34.132 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 11:11:34.135 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 11:11:34.144 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 11:23:10.680 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 62028 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 11:23:10.683 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 11:23:11.244 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 11:23:11.246 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 11:23:11.289 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27ms. Found 0 Redis repository interfaces.
2020-09-07 11:23:11.773 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 11:23:11.781 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 11:23:11.782 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 11:23:11.782 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 11:23:11.865 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 11:23:11.866 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1141 ms
2020-09-07 11:23:12.018 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 11:23:12.290 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 11:23:44.331 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-09-07 11:23:44.526 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-07 11:23:44.969 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2020-09-07 11:23:44.999 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/leilema'
2020-09-07 11:23:45.008 INFO  com.bugpool.leilema.LeilemaApplication - Started LeilemaApplication in 34.992 seconds (JVM running for 37.038)
2020-09-07 11:24:54.175 INFO  com.bugpool.leilema.RedisServiceTest - Starting RedisServiceTest on DESKTOP-N92EE56 with PID 63504 (started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 11:24:54.176 INFO  com.bugpool.leilema.RedisServiceTest - The following profiles are active: dev
2020-09-07 11:24:55.197 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 11:24:55.201 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 11:24:55.246 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29ms. Found 0 Redis repository interfaces.
2020-09-07 11:24:55.822 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 11:24:56.408 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 11:25:28.669 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService
2020-09-07 11:25:29.405 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-07 11:25:30.039 INFO  com.bugpool.leilema.RedisServiceTest - Started RedisServiceTest in 36.414 seconds (JVM running for 37.504)
2020-09-07 11:25:30.537 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-07 11:25:30.538 INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService
2020-09-07 11:25:30.539 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 11:25:30.548 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 11:33:17.720 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 65380 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 11:33:17.722 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 11:33:25.276 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 66508 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 11:33:25.279 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 11:33:25.827 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 11:33:25.829 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 11:33:25.867 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25ms. Found 0 Redis repository interfaces.
2020-09-07 11:33:26.354 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 11:33:26.361 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 11:33:26.362 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 11:33:26.362 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 11:33:26.444 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 11:33:26.444 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1126 ms
2020-09-07 11:33:26.596 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 11:33:26.872 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 11:33:28.869 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 11:33:28.874 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 11:33:28.877 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 11:33:28.887 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 14:03:54.938 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 71020 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 14:03:54.974 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 14:03:59.971 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 14:03:59.976 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 14:04:00.171 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 73ms. Found 0 Redis repository interfaces.
2020-09-07 14:04:01.993 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 14:04:02.006 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 14:04:02.007 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 14:04:02.007 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 14:04:02.911 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 14:04:02.911 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7843 ms
2020-09-07 14:04:05.886 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 14:04:10.403 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 14:04:23.298 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 14:04:23.347 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 14:04:23.351 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 14:04:23.367 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 14:04:48.426 INFO  com.bugpool.leilema.RedisServiceTest - Starting RedisServiceTest on DESKTOP-N92EE56 with PID 73968 (started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 14:04:48.451 INFO  com.bugpool.leilema.RedisServiceTest - The following profiles are active: dev
2020-09-07 14:04:49.507 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 14:04:49.511 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 14:04:49.585 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 50ms. Found 0 Redis repository interfaces.
2020-09-07 14:04:50.444 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 14:04:51.197 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 14:04:53.822 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 14:04:53.889 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 14:04:53.902 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 14:06:36.772 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 69864 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 14:06:36.776 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 14:06:37.907 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 14:06:37.911 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 14:06:37.990 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 50ms. Found 0 Redis repository interfaces.
2020-09-07 14:06:38.733 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 14:06:38.745 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 14:06:38.746 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 14:06:38.746 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 14:06:38.861 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 14:06:38.861 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1960 ms
2020-09-07 14:06:39.091 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 14:06:39.460 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 14:06:42.457 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 14:06:42.462 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 14:06:42.466 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 14:06:42.478 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 14:31:07.069 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 68392 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 14:31:07.088 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 14:31:08.798 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 14:31:08.835 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 14:31:08.983 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 51ms. Found 0 Redis repository interfaces.
2020-09-07 14:31:09.912 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 14:31:09.924 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 14:31:09.925 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 14:31:09.925 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 14:31:10.112 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 14:31:10.112 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2968 ms
2020-09-07 14:31:10.598 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 14:31:10.688 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 14:31:50.073 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 74760 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 14:31:50.077 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 14:31:50.833 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 14:31:50.838 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 14:31:50.890 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 33ms. Found 0 Redis repository interfaces.
2020-09-07 14:31:51.510 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 14:31:51.529 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 14:31:51.530 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 14:31:51.530 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 14:31:51.637 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 14:31:51.637 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1499 ms
2020-09-07 14:31:52.061 INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2020-09-07 14:31:53.368 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-09-07 14:31:56.354 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-09-07 14:31:56.360 INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-09-07 14:31:56.363 INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2020-09-07 14:31:56.385 INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-09-07 15:23:23.724 INFO  com.bugpool.leilema.LeilemaApplication - Starting LeilemaApplication on DESKTOP-N92EE56 with PID 76744 (F:\study\fast_springboot\code\leilema\target\classes started by Dell in F:\study\fast_springboot\code\leilema)
2020-09-07 15:23:23.742 INFO  com.bugpool.leilema.LeilemaApplication - The following profiles are active: dev
2020-09-07 15:23:26.372 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-07 15:23:26.377 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-07 15:23:26.514 INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62ms. Found 0 Redis repository interfaces.
2020-09-07 15:23:27.444 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2020-09-07 15:23:27.457 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2020-09-07 15:23:27.458 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-07 15:23:27.458 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-07 15:23:28.153 INFO  o.a.c.c.C.[Tomcat].[localhost].[/leilema] - Initializing Spring embedded WebApplicationContext
2020-09-07 15:23:28.154 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4306 ms
